Symbol,Company Name,Sector,PaymentDate,AnnualDividendsPerShare,DividendYield,PayoutRatio
ACB,Aurora Cannabis Inc. - Common Shares,Health Care,,,,
ACBA,Ace Global Business Acquisition Limited - Ordinary Shares,Consumer Discretionary,N/A,N/A,N/A,N/A
ACBA,Ace Global Business Acquisition Limited - Ordinary Shares,Consumer Discretionary,,,,
ACBAU,Ace Global Business Acquisition Limited - Unit,Consumer Discretionary,N/A,N/A,N/A,N/A
ACBAU,Ace Global Business Acquisition Limited - Unit,Consumer Discretionary,,,,
ACBAW,Ace Global Business Acquisition Limited - Warrant,Consumer Discretionary,N/A,N/A,N/A,N/A
ACBAW,Ace Global Business Acquisition Limited - Warrant,Consumer Discretionary,,,,
ACCD,"Accolade, Inc. - common stock",Consumer Discretionary,N/A,N/A,N/A,N/A
ACCD,"Accolade, Inc. - common stock",Consumer Discretionary,,,,
ACDC,ProFrac Holding Corp. - Class A Common Stock,Energy,N/A,N/A,N/A,N/A
ACDC,ProFrac Holding Corp. - Class A Common Stock,Energy,,,,
ACET,"Adicet Bio, Inc. - Common Stock",Health Care,N/A,N/A,N/A,N/A
ACET,"Adicet Bio, Inc. - Common Stock",Health Care,,,,
ACGL,Arch Capital Group Ltd. - Common Stock,Finance,N/A,N/A,N/A,N/A
ACGL,Arch Capital Group Ltd. - Common Stock,Finance,,,,
ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",Finance,12/31/2023,1.1375,5.7%,N/A
ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",Finance,12/31/2023,1.3625,5.84%,N/A
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",Health Care,N/A,N/A,N/A,N/A
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",Health Care,,,,
ACHL,Achilles Therapeutics plc - American Depositary Shares,Health Care,N/A,N/A,N/A,N/A
ACHL,Achilles Therapeutics plc - American Depositary Shares,Health Care,,,,
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",Health Care,N/A,N/A,N/A,N/A
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",Health Care,,,,
ACIC,American Coastal Insurance Corporation - Common Stock,Finance,03/16/2022,N/A,N/A,N/A
ACIU,AC Immune SA - Common Stock,Health Care,N/A,N/A,N/A,N/A
ACIU,AC Immune SA - Common Stock,Health Care,,,,
ACIW,"ACI Worldwide, Inc. - Common Stock",Technology,N/A,N/A,N/A,N/A
ACIW,"ACI Worldwide, Inc. - Common Stock",Technology,,,,
ACLS,"Axcelis Technologies, Inc. - Common Stock",Technology,N/A,N/A,N/A,N/A
ACLS,"Axcelis Technologies, Inc. - Common Stock",Technology,,,,
ACLX,"Arcellx, Inc. - Common Stock",Health Care,N/A,N/A,N/A,N/A
ACLX,"Arcellx, Inc. - Common Stock",Health Care,,,,
ACMR,"ACM Research, Inc. - Class A Common Stock",Technology,N/A,N/A,N/A,N/A
ACMR,"ACM Research, Inc. - Class A Common Stock",Technology,,,,
ACNB,ACNB Corporation - Common Stock,Finance,12/15/2023,1.2,2.63%,10.27
ACNT,Ascent Industries Co. - Common Stock,Industrials,12/12/2018,N/A,N/A,N/A
ACON,"Aclarion, Inc. - Common Stock",Technology,N/A,N/A,N/A,N/A
ACON,"Aclarion, Inc. - Common Stock",Technology,,,,
ACONW,"Aclarion, Inc. - Warrant",Technology,N/A,N/A,N/A,N/A
ACONW,"Aclarion, Inc. - Warrant",Technology,,,,
ACOR,"Acorda Therapeutics, Inc. - Common Stock",Health Care,N/A,N/A,N/A,N/A
ACOR,"Acorda Therapeutics, Inc. - Common Stock",Health Care,,,,
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",Health Care,N/A,N/A,N/A,N/A
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",Health Care,,,,
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",Health Care,N/A,N/A,N/A,N/A
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",Health Care,,,,
ACRX,"AcelRx Pharmaceuticals, Inc. - Common Stock",Health Care,N/A,N/A,N/A,N/A
ACRX,"AcelRx Pharmaceuticals, Inc. - Common Stock",Health Care,,,,
ACST,"Acasti Pharma, Inc.  - Class A Common Stock",Health Care,N/A,N/A,N/A,N/A
ACST,"Acasti Pharma, Inc.  - Class A Common Stock",Health Care,,,,
ACT,"Enact Holdings, Inc. - Common Stock",Finance,09/13/2023,0.64,2.19%,7.26
ACTG,Acacia Research Corporation - Common Stock,Miscellaneous,11/30/2015,N/A,N/A,N/A
ACVA,ACV Auctions Inc. - Class A Common Stock,Consumer Discretionary,N/A,N/A,N/A,N/A
ACVA,ACV Auctions Inc. - Class A Common Stock,Consumer Discretionary,,,,
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",Health Care,N/A,N/A,N/A,N/A
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",Health Care,,,,
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",Health Care,N/A,N/A,N/A,N/A
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",Health Care,,,,
ADAP,Adaptimmune Therapeutics plc - American Depositary Shares,Health Care,N/A,N/A,N/A,N/A
ADAP,Adaptimmune Therapeutics plc - American Depositary Shares,Health Care,,,,
ADBE,Adobe Inc. - Common Stock,Technology,N/A,N/A,N/A,50.82
ADD,"Color Star Technology Co., Ltd. - Class A Ordinary Shares",Consumer Discretionary,N/A,N/A,N/A,N/A
ADD,"Color Star Technology Co., Ltd. - Class A Ordinary Shares",Consumer Discretionary,,,,
ADEA,Adeia Inc.  - Common Stock,Technology,12/18/2023,0.2,1.7%,10.43
ADES,"Advanced Emissions Solutions, Inc. - Common Stock",Industrials,N/A,N/A,N/A,N/A
ADI,"Analog Devices, Inc. - Common Stock",Technology,12/14/2023,3.44,1.75%,30.01
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",Health Care,N/A,N/A,N/A,N/A
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",Health Care,,,,
ADMA,ADMA Biologics Inc - Common Stock,Health Care,N/A,N/A,N/A,N/A
ADMA,ADMA Biologics Inc - Common Stock,Health Care,,,,
ADN,"Advent Technologies Holdings, Inc. - Class A Common Stock",Utilities,N/A,N/A,N/A,N/A
ADN,"Advent Technologies Holdings, Inc. - Class A Common Stock",Utilities,,,,
ADNWW,"Advent Technologies Holdings, Inc. - Warrant",Miscellaneous,N/A,N/A,N/A,N/A
ADNWW,"Advent Technologies Holdings, Inc. - Warrant",Miscellaneous,,,,
ADOC,Edoc Acquisition Corp. - Class A Ordinary Share,Health Care,N/A,N/A,N/A,N/A
ADOC,Edoc Acquisition Corp. - Class A Ordinary Share,Health Care,,,,
ADOCR,Edoc Acquisition Corp. - Right,Health Care,N/A,N/A,N/A,N/A
ADOCR,Edoc Acquisition Corp. - Right,Health Care,,,,
ADOCW,Edoc Acquisition Corp. - Warrant,Health Care,N/A,N/A,N/A,N/A
ADOCW,Edoc Acquisition Corp. - Warrant,Health Care,,,,
ADP,"Automatic Data Processing, Inc. - Common Stock",Technology,01/01/2024,5.6,2.45%,27.23
ADPT,Adaptive Biotechnologies Corporation - Common Stock,Health Care,N/A,N/A,N/A,N/A
ADPT,Adaptive Biotechnologies Corporation - Common Stock,Health Care,,,,
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,Consumer Discretionary,N/A,N/A,N/A,N/A
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,Consumer Discretionary,,,,
ADSEW,ADS-TEC ENERGY PLC - Warrant,Consumer Discretionary,N/A,N/A,N/A,N/A
ADSEW,ADS-TEC ENERGY PLC - Warrant,Consumer Discretionary,,,,
ADSK,"Autodesk, Inc. - Common Stock",Technology,N/A,N/A,N/A,56.92
ADTH,"AdTheorent Holding Company, Inc. - Common Stock",Consumer Discretionary,N/A,N/A,N/A,N/A
ADTH,"AdTheorent Holding Company, Inc. - Common Stock",Consumer Discretionary,,,,
ADTHW,"AdTheorent Holding Company, Inc. - Warrants",Consumer Discretionary,N/A,N/A,N/A,N/A
ADTHW,"AdTheorent Holding Company, Inc. - Warrants",Consumer Discretionary,,,,
ADTN,"ADTRAN Holdings, Inc. - Common Stock",Telecommunications,09/05/2023,0.36,5.09%,N/A
ADTX,"Aditxt, Inc. - Common Stock",Health Care,N/A,N/A,N/A,N/A
ADTX,"Aditxt, Inc. - Common Stock",Health Care,,,,
ADUS,Addus HomeCare Corporation - Common Stock,Health Care,N/A,N/A,N/A,N/A
ADUS,Addus HomeCare Corporation - Common Stock,Health Care,,,,
ADV,Advantage Solutions Inc.  - Class A Common Stock,Consumer Discretionary,N/A,N/A,N/A,N/A
ADV,Advantage Solutions Inc.  - Class A Common Stock,Consumer Discretionary,,,,
ADVM,"Adverum Biotechnologies, Inc. - Common Stock",Health Care,N/A,N/A,N/A,N/A
ADVM,"Adverum Biotechnologies, Inc. - Common Stock",Health Care,,,,
ADVWW,Advantage Solutions Inc.  - Warrant,Consumer Discretionary,N/A,N/A,N/A,N/A
ADVWW,Advantage Solutions Inc.  - Warrant,Consumer Discretionary,,,,
ADXN,Addex Therapeutics Ltd - American Depositary Shares,Health Care,N/A,N/A,N/A,N/A
ADXN,Addex Therapeutics Ltd - American Depositary Shares,Health Care,,,,
AEAE,AltEnergy Acquisition Corp. - Class A Common Stock,Finance,N/A,N/A,N/A,N/A
AEAE,AltEnergy Acquisition Corp. - Class A Common Stock,Finance,,,,
AEAEU,AltEnergy Acquisition Corp. - Unit,Finance,N/A,N/A,N/A,N/A
AEAEU,AltEnergy Acquisition Corp. - Unit,Finance,,,,
AEAEW,AltEnergy Acquisition Corp. - Warrant,Finance,N/A,N/A,N/A,N/A
AEAEW,AltEnergy Acquisition Corp. - Warrant,Finance,,,,
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,Consumer Discretionary,N/A,N/A,N/A,N/A
AEHR,Aehr Test Systems - Common Stock,Industrials,N/A,N/A,N/A,N/A
AEHR,Aehr Test Systems - Common Stock,Industrials,,,,
AEI,Alset Inc. - Common Stock,Real Estate,N/A,N/A,N/A,N/A
AEI,Alset Inc. - Common Stock,Real Estate,,,,
AEIS,"Advanced Energy Industries, Inc. - Common Stock",Technology,12/01/2023,0.4,0.36%,30.91
AEMD,"Aethlon Medical, Inc. - Common Stock",Miscellaneous,N/A,N/A,N/A,N/A
AEMD,"Aethlon Medical, Inc. - Common Stock",Miscellaneous,,,,
AENT,Alliance Entertainment Holding Corporation - common stock,Consumer Discretionary,N/A,N/A,N/A,N/A
AENT,Alliance Entertainment Holding Corporation - common stock,Consumer Discretionary,,,,
AENTW,Alliance Entertainment Holding Corporation - Warrants,Consumer Discretionary,N/A,N/A,N/A,N/A
AENTW,Alliance Entertainment Holding Corporation - Warrants,Consumer Discretionary,,,,
AEP,"American Electric Power Company, Inc. - Common Stock",Utilities,12/08/2023,3.52,4.4%,18.36
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",Basic Materials,N/A,N/A,N/A,N/A
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",Basic Materials,,,,
AERTW,"Aeries Technology, Inc. - Warrant",Finance,N/A,N/A,N/A,N/A
AERTW,"Aeries Technology, Inc. - Warrant",Finance,,,,
AEY,"ADDvantage Technologies Group, Inc. - Common Stock",Industrials,N/A,N/A,N/A,N/A
AEY,"ADDvantage Technologies Group, Inc. - Common Stock",Industrials,,,,
AEYE,"AudioEye, Inc. - Common Stock",Technology,N/A,N/A,N/A,N/A
AEYE,"AudioEye, Inc. - Common Stock",Technology,,,,
AEZS,Aeterna Zentaris Inc. - Common Stock,Health Care,N/A,N/A,N/A,N/A
AEZS,Aeterna Zentaris Inc. - Common Stock,Health Care,,,,
AFAR,Aura FAT Projects Acquisition Corp - Class A Ordinary Shares,Finance,N/A,N/A,N/A,N/A
AFAR,Aura FAT Projects Acquisition Corp - Class A Ordinary Shares,Finance,,,,
AFARU,Aura FAT Projects Acquisition Corp - Unit,Finance,N/A,N/A,N/A,N/A
AFARU,Aura FAT Projects Acquisition Corp - Unit,Finance,,,,
AFARW,Aura FAT Projects Acquisition Corp - Warrant,Finance,N/A,N/A,N/A,N/A
AFARW,Aura FAT Projects Acquisition Corp - Warrant,Finance,,,,
AFBI,"Affinity Bancshares, Inc. - Common Stock",Finance,N/A,N/A,N/A,N/A
AFBI,"Affinity Bancshares, Inc. - Common Stock",Finance,,,,
AFCG,"AFC Gamma, Inc. - Common Stock",Real Estate,10/13/2023,1.92,14.86%,8.02
AFIB,"Acutus Medical, Inc. - Common Stock",Health Care,N/A,N/A,N/A,N/A
AFIB,"Acutus Medical, Inc. - Common Stock",Health Care,,,,
AFMD,Affimed N.V. - Common Stock,Health Care,N/A,N/A,N/A,N/A
AFMD,Affimed N.V. - Common Stock,Health Care,,,,
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",Consumer Discretionary,N/A,N/A,N/A,N/A
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",Consumer Discretionary,,,,
AFYA,Afya Limited - Class A Common Shares,Real Estate,N/A,N/A,N/A,N/A
AFYA,Afya Limited - Class A Common Shares,Real Estate,,,,
AGAE,Allied Gaming & Entertainment Inc. - Common Stock,Telecommunications,N/A,N/A,N/A,N/A
AGAE,Allied Gaming & Entertainment Inc. - Common Stock,Telecommunications,,,,
AGBA,AGBA Group Holding Limited - Ordinary Share,Finance,N/A,N/A,N/A,N/A
AGBA,AGBA Group Holding Limited - Ordinary Share,Finance,,,,
AGBAW,AGBA Group Holding Limited - Warrant,Finance,N/A,N/A,N/A,N/A
AGBAW,AGBA Group Holding Limited - Warrant,Finance,,,,
AGEN,Agenus Inc. - Common Stock,Health Care,N/A,N/A,N/A,N/A
AGEN,Agenus Inc. - Common Stock,Health Care,,,,
AGFY,Agrify Corporation - Common Stock,Consumer Discretionary,N/A,N/A,N/A,N/A
AGFY,Agrify Corporation - Common Stock,Consumer Discretionary,,,,
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",Health Care,N/A,N/A,N/A,N/A
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",Health Care,,,,
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,Technology,N/A,N/A,N/A,N/A
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,Technology,,,,
AGNC,AGNC Investment Corp. - Common Stock,Real Estate,12/11/2023,1.44,14.52%,26.81
AGNCL,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",Real Estate,10/16/2023,1.9375,8.81%,N/A
AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Real Estate,10/16/2023,1.7188,7.19%,N/A
AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",Real Estate,10/16/2023,2.73,10.7%,N/A
AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",Real Estate,10/16/2023,1.625,6.88%,N/A
AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",Real Estate,10/16/2023,1.5313,6.9%,N/A
AGRIW,AgriFORCE  Growing Systems Ltd. - Warrant,Industrials,N/A,N/A,N/A,N/A
AGRIW,AgriFORCE  Growing Systems Ltd. - Warrant,Industrials,,,,
AGRX,"Agile Therapeutics, Inc. - Common Stock",Health Care,N/A,N/A,N/A,N/A
AGRX,"Agile Therapeutics, Inc. - Common Stock",Health Care,,,,
AGYS,"Agilysys, Inc. - Common Stock",Technology,08/03/2009,N/A,N/A,180.57
AHCO,AdaptHealth Corp.  - Common Stock,Health Care,N/A,N/A,N/A,N/A
AHCO,AdaptHealth Corp.  - Common Stock,Health Care,,,,
AHG,Akso Health Group - American Depositary Shares,Consumer Discretionary,N/A,N/A,N/A,N/A
AHI,Advanced Health Intelligence Ltd. - American Depositary Shares,Consumer Discretionary,N/A,N/A,N/A,N/A
AHI,Advanced Health Intelligence Ltd. - American Depositary Shares,Consumer Discretionary,,,,
AIB,AIB Acquisition Corporation - Class A Ordinary Shares,Finance,N/A,N/A,N/A,N/A
AIB,AIB Acquisition Corporation - Class A Ordinary Shares,Finance,,,,
AIBBR,AIB Acquisition Corporation - Right,Finance,N/A,N/A,N/A,N/A
AIBBR,AIB Acquisition Corporation - Right,Finance,,,,
AIBBU,AIB Acquisition Corporation - Unit,Finance,N/A,N/A,N/A,N/A
AIBBU,AIB Acquisition Corporation - Unit,Finance,,,,
AIH,Aesthetic Medical International Holdings Group Ltd. - American Depositary Shares,Health Care,N/A,N/A,N/A,N/A
AIH,Aesthetic Medical International Holdings Group Ltd. - American Depositary Shares,Health Care,,,,
AIHS,Senmiao Technology Limited - Common Stock,Finance,N/A,N/A,N/A,N/A
AIHS,Senmiao Technology Limited - Common Stock,Finance,,,,
AIMAU,Aimfinity Investment Corp. I - Unit,Finance,N/A,N/A,N/A,N/A
AIMAU,Aimfinity Investment Corp. I - Unit,Finance,,,,
AIMAW,Aimfinity Investment Corp. I - Warrant,Finance,N/A,N/A,N/A,N/A
AIMAW,Aimfinity Investment Corp. I - Warrant,Finance,,,,
AIMBU,Aimfinity Investment Corp. I - Subunit,Finance,N/A,N/A,N/A,N/A
AIMBU,Aimfinity Investment Corp. I - Subunit,Finance,,,,
AIMD,"Ainos, Inc. - Common Stock",Health Care,N/A,N/A,N/A,N/A
AIMD,"Ainos, Inc. - Common Stock",Health Care,,,,
AIMDW,"Ainos, Inc. - warrants",Health Care,N/A,N/A,N/A,N/A
AIMDW,"Ainos, Inc. - warrants",Health Care,,,,
AIP,"Arteris, Inc.  - Common Stock",Technology,N/A,N/A,N/A,N/A
AIP,"Arteris, Inc.  - Common Stock",Technology,,,,
AIRG,"Airgain, Inc. - Common Stock",Technology,N/A,N/A,N/A,N/A
AIRG,"Airgain, Inc. - Common Stock",Technology,,,,
AIRS,"AirSculpt Technologies, Inc. - Common Stock",Health Care,N/A,N/A,N/A,N/A
AIRT,"Air T, Inc. - Common Stock",Consumer Discretionary,06/28/2013,N/A,N/A,N/A
AIRTP,"Air T, Inc. - Trust Preferred Securities",Consumer Discretionary,11/15/2023,2,11.76%,N/A
AIXI,XIAO-I Corporation - American Depositary Shares,Technology,N/A,N/A,N/A,N/A
AIXI,XIAO-I Corporation - American Depositary Shares,Technology,,,,
AKAM,"Akamai Technologies, Inc. - Common Stock",Consumer Discretionary,N/A,N/A,N/A,N/A
AKAM,"Akamai Technologies, Inc. - Common Stock",Consumer Discretionary,,,,
AKAN,Akanda Corp. - Common Shares,Health Care,N/A,N/A,N/A,N/A
AKAN,Akanda Corp. - Common Shares,Health Care,,,,
AKBA,"Akebia Therapeutics, Inc. - Common Stock",Health Care,N/A,N/A,N/A,N/A
AKBA,"Akebia Therapeutics, Inc. - Common Stock",Health Care,,,,
AKLI,"Akili, Inc. - Common Stock",Technology,N/A,N/A,N/A,N/A
AKLI,"Akili, Inc. - Common Stock",Technology,,,,
AKRO,"Akero Therapeutics, Inc. - Common Stock",Health Care,N/A,N/A,N/A,N/A
AKRO,"Akero Therapeutics, Inc. - Common Stock",Health Care,,,,
AKTS,"Akoustis Technologies, Inc. - Common Stock",Utilities,N/A,N/A,N/A,N/A
AKTS,"Akoustis Technologies, Inc. - Common Stock",Utilities,,,,
AKTX,Akari Therapeutics Plc - American Depositary Shares,Health Care,N/A,N/A,N/A,N/A
AKTX,Akari Therapeutics Plc - American Depositary Shares,Health Care,,,,
AKYA,"Akoya BioSciences, Inc. - Common Stock",Industrials,N/A,N/A,N/A,N/A
AKYA,"Akoya BioSciences, Inc. - Common Stock",Industrials,,,,
ALAR,Alarum Technologies Ltd. - American Depositary Shares,Technology,N/A,N/A,N/A,N/A
ALAR,Alarum Technologies Ltd. - American Depositary Shares,Technology,,,,
ALBT,Avalon GloboCare Corp. - Common Stock,Health Care,N/A,N/A,N/A,N/A
ALBT,Avalon GloboCare Corp. - Common Stock,Health Care,,,,
ALCY,Alchemy Investments Acquisition Corp 1 - Class A Ordinary Shares,Finance,N/A,N/A,N/A,N/A
ALCY,Alchemy Investments Acquisition Corp 1 - Class A Ordinary Shares,Finance,,,,
ALCYU,Alchemy Investments Acquisition Corp 1 - Units,Finance,N/A,N/A,N/A,N/A
ALCYU,Alchemy Investments Acquisition Corp 1 - Units,Finance,,,,
ALCYW,Alchemy Investments Acquisition Corp 1 - Warrants,Finance,N/A,N/A,N/A,N/A
ALCYW,Alchemy Investments Acquisition Corp 1 - Warrants,Finance,,,,
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",Health Care,N/A,N/A,N/A,N/A
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",Health Care,,,,
ALEC,"Alector, Inc. - Common Stock",Health Care,N/A,N/A,N/A,N/A
ALEC,"Alector, Inc. - Common Stock",Health Care,,,,
ALGM,"Allegro MicroSystems, Inc. - Common Stock",Technology,N/A,N/A,N/A,N/A
ALGM,"Allegro MicroSystems, Inc. - Common Stock",Technology,,,,
ALGN,"Align Technology, Inc. - Common Stock",Health Care,N/A,N/A,N/A,N/A
ALGN,"Align Technology, Inc. - Common Stock",Health Care,,,,
