Symbol,Company Name,Sector
AIRG,"Airgain, Inc. - Common Stock",Technology
AIRL,Themes Airlines ETF,
AIRR,First Trust RBA American Industrial Renaissance ETF,
AIRS,"AirSculpt Technologies, Inc. - Common Stock",Health Care
AIRT,"Air T, Inc. - Common Stock",Consumer Discretionary
AIRTP,"Air T, Inc. - Trust Preferred Securities",Consumer Discretionary
AITRU,AI TRANSPORTATION ACQUISITION CORP - Unit,
AIXI,XIAO-I Corporation - American Depositary Shares,Technology
AKAM,"Akamai Technologies, Inc. - Common Stock",Consumer Discretionary
AKAN,Akanda Corp. - Common Shares,Health Care
AKBA,"Akebia Therapeutics, Inc. - Common Stock",Health Care
AKLI,"Akili, Inc. - Common Stock",Technology
AKRO,"Akero Therapeutics, Inc. - Common Stock",Health Care
AKTS,"Akoustis Technologies, Inc. - Common Stock",Utilities
AKTX,Akari Therapeutics Plc - American Depositary Shares,Health Care
AKYA,"Akoya BioSciences, Inc. - Common Stock",Industrials
ALAR,Alarum Technologies Ltd. - American Depositary Shares,Technology
ALBT,Avalon GloboCare Corp. - Common Stock,Health Care
ALCO,"Alico, Inc. - Common Stock",
ALCY,Alchemy Investments Acquisition Corp 1 - Class A Ordinary Shares,Finance
ALCYU,Alchemy Investments Acquisition Corp 1 - Units,Finance
ALCYW,Alchemy Investments Acquisition Corp 1 - Warrants,Finance
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",Health Care
ALEC,"Alector, Inc. - Common Stock",Health Care
ALGM,"Allegro MicroSystems, Inc. - Common Stock",Technology
ALGN,"Align Technology, Inc. - Common Stock",Health Care
ALGS,"Aligos Therapeutics, Inc. - Common stock",Health Care
ALGT,Allegiant Travel Company - Common Stock,Consumer Discretionary
ALHC,"Alignment Healthcare, Inc. - Common Stock",Health Care
ALIM,"Alimera Sciences, Inc. - Common Stock",Health Care
ALKS,Alkermes plc - Ordinary Shares,Health Care
ALKT,"Alkami Technology, Inc. - Common Stock",Technology
ALLK,Allakos Inc. - Common Stock,Health Care
ALLO,"Allogene Therapeutics, Inc. - Common Stock",Health Care
ALLR,"Allarity Therapeutics, Inc. - Common stock",Health Care
ALLT,Allot Ltd. - Ordinary Shares,Telecommunications
ALNT,Allient Inc. - Common Stock,Industrials
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",Health Care
ALOT,"AstroNova, Inc. - Common Stock",Technology
ALPN,"Alpine Immune Sciences, Inc. - Common Stock",Health Care
ALPP,"Alpine 4 Holdings, Inc. - Class A Common Stock",Telecommunications
ALRM,"Alarm.com Holdings, Inc. - Common Stock",Technology
ALRN,"Aileron Therapeutics, Inc. - Common Stock",Health Care
ALRS,Alerus Financial Corporation - Common Stock,Finance
ALSA,Alpha Star Acquisition Corporation - Ordinary Shares,Finance
ALSAR,Alpha Star Acquisition Corporation - Rights,Finance
ALSAU,Alpha Star Acquisition Corporation - Units,Finance
ALSAW,Alpha Star Acquisition Corporation - Warrants,Finance
ALT,"Altimmune, Inc. - Common Stock",Health Care
ALTI,"AlTi Global, Inc. - Class A Common Stock",Finance
ALTO,"Alto Ingredients, Inc. - Common Stock",Industrials
ALTR,Altair Engineering Inc. - Class A Common Stock,Technology
ALTU,Altitude Acquisition Corp. - Class A Common Stock,Finance
ALTUU,Altitude Acquisition Corp. - Unit,Finance
ALTUW,Altitude Acquisition Corp. - Warrant,Finance
ALTY,Global X Alternative Income ETF,
ALVO,Alvotech - Ordinary Shares,Health Care
ALVOW,Alvotech - Warrant,Health Care
ALVR,"AlloVir, Inc. - Common Stock",Health Care
ALXO,ALX Oncology Holdings Inc. - Common Stock,Health Care
ALYA,Alithya Group inc. - Class A subordinate voting shares,
ALZN,"Alzamend Neuro, Inc. - Common Stock",Health Care
AMAL,Amalgamated Financial Corp. - Common Stock,Finance
AMAM,"Ambrx Biopharma, Inc.  - Common Stock",Health Care
AMAT,"Applied Materials, Inc. - Common Stock",Technology
AMBA,"Ambarella, Inc. - Ordinary Shares",Technology
AMCX,AMC Networks Inc. - Class A Common Stock,Telecommunications
AMD,"Advanced Micro Devices, Inc. - Common Stock",Technology
AMDS,GraniteShares 1x Short AMD Daily ETF,
AMED,Amedisys Inc - Common Stock,Health Care
AMEH,"Apollo Medical Holdings, Inc. - Common Stock",Consumer Discretionary
AMGN,Amgen Inc. - Common Stock,Health Care
AMID,Argent Mid Cap ETF,
AMKR,"Amkor Technology, Inc. - Common Stock",Technology
AMLI,American Lithium Corp. - Common Stock,Basic Materials
AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",Health Care
AMNB,"American National Bankshares, Inc. - Common Stock",Finance
AMPG,"Amplitech Group, Inc. - Common Stock",Technology
AMPGW,"Amplitech Group, Inc. - Warrants",Telecommunications
AMPH,"Amphastar Pharmaceuticals, Inc. - Common Stock",Health Care
AMPL,"Amplitude, Inc. - Class A Common Stock",Technology
AMRK,"A-Mark Precious Metals, Inc. - Common Stock",Industrials
AMRN,"Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share",Health Care
AMSC,American Superconductor Corporation - Common Stock,Industrials
AMSF,"AMERISAFE, Inc. - Common Stock",Finance
AMST,Amesite Inc. - Common Stock,Technology
AMSWA,"American Software, Inc. - Class A Common Stock",Technology
AMTI,Applied Molecular Transport Inc. - common stock,Health Care
AMTX,"Aemetis, Inc - Common Stock",Industrials
AMWD,American Woodmark Corporation - Common Stock,Consumer Discretionary
AMZD,Direxion Daily AMZN Bear 1X Shares,
AMZN,"Amazon.com, Inc. - Common Stock",Consumer Discretionary
AMZU,Direxion Daily AMZN Bull 1.5X Shares,
ANAB,"AnaptysBio, Inc. - Common Stock",Health Care
ANDE,"The Andersons, Inc. - Common Stock",Industrials
ANEB,"Anebulo Pharmaceuticals, Inc. - Common Stock",Health Care
ANGH,Anghami Inc. - Ordinary Shares,Consumer Discretionary
ANGHW,Anghami Inc. - Warrants,Consumer Discretionary
ANGI,Angi Inc. - Class A Common Stock,Technology
ANGL,VanEck Fallen Angel High Yield Bond ETF,
ANGO,"AngioDynamics, Inc. - Common Stock",Health Care
ANIK,Anika Therapeutics Inc. - Common Stock,Health Care
ANIP,"ANI Pharmaceuticals, Inc. - Common Stock",Health Care
ANIX,"Anixa Biosciences, Inc. - Common Stock",Health Care
ANL,Adlai Nortye Ltd. - American Depositary Shares,
ANNX,"Annexon, Inc. - common stock",Health Care
ANSCU,Agriculture & Natural Solutions Acquisition Corporation - Unit,
ANSS,"ANSYS, Inc. - Common Stock",Technology
ANTE,"AirNet Technology Inc. - American Depositary Shares, each representing one ordinary shares",Consumer Discretionary
ANTX,"AN2 Therapeutics, Inc. - Common Stock",Health Care
ANY,Sphere 3D Corp. - Common Shares,Finance
AOGO,Arogo Capital Acquisition Corp. - Class A Common Stock,Technology
AOGOU,Arogo Capital Acquisition Corp. - Unit,Technology
AOGOW,Arogo Capital Acquisition Corp. - Warrant,Technology
AONC,"American Oncology Network, Inc. - Class A Common Stock",Health Care
AONCW,"American Oncology Network, Inc. - Warrant",Health Care
AOSL,Alpha and Omega Semiconductor Limited - Common Shares,Technology
AOTG,AOT Growth and Innovation ETF,
AOUT,"American Outdoor Brands, Inc. - Common Stock",Industrials
APA,APA Corporation - Common Stock,Energy
APAC,StoneBridge Acquisition Corporation - Class A Ordinary Shares,Finance
APACU,StoneBridge Acquisition Corporation - Unit,Finance
APACW,StoneBridge Acquisition Corporation - Warrant,Finance
APCX,AppTech Payments Corp. - Common stock,Finance
APCXW,AppTech Payments Corp. - Warrant,Finance
APDN,"Applied DNA Sciences, Inc. - Common Stock",Consumer Discretionary
APEI,"American Public Education, Inc. - Common Stock",Consumer Discretionary
APGE,"Apogee Therapeutics, Inc. - Common Stock",Health Care
API,"Agora, Inc. - ADS",Technology
APLD,Applied Digital Corporation - Common Stock,Finance
APLM,Apollomics Inc. - Class A Ordinary Shares,Finance
APLMW,Apollomics Inc. - Warrant,Finance
APLS,"Apellis Pharmaceuticals, Inc. - Common Stock",Health Care
APLT,"Applied Therapeutics, Inc. - Common Stock",Health Care
APM,Aptorum Group Limited - Class A Ordinary Shares,Health Care
APOG,"Apogee Enterprises, Inc. - Common Stock",Consumer Discretionary
APP,Applovin Corporation - Class A Common Stock,Technology
APPF,"AppFolio, Inc. - Class A Common Stock",Technology
APPN,Appian Corporation - Class A Common Stock,Technology
APPS,"Digital Turbine, Inc. - Common Stock",Miscellaneous
APRE,"Aprea Therapeutics, Inc. - Common Stock",Health Care
APTM,Alpha Partners Technology Merger Corp. - Class A Ordinary Shares,
APTMU,Alpha Partners Technology Merger Corp. - Unit,
APTMW,Alpha Partners Technology Merger Corp. - Warrant,
APTO,"Aptose Biosciences, Inc. - Common Shares",Health Care
APVO,Aptevo Therapeutics Inc. - Common Stock,Health Care
APWC,"Asia Pacific Wire & Cable Corporation Limited  - Common shares, Par value .01 per share",Industrials
APXI,APx Acquisition Corp. I - Class A Ordinary Share,Finance
APXIU,APx Acquisition Corp. I - Unit,Finance
APXIW,APx Acquisition Corp. I - Warrant,Finance
APYX,Apyx Medical Corporation - Common Stock,Health Care
AQB,"AquaBounty Technologies, Inc. - Common Stock",
AQMS,"Aqua Metals, Inc. - Common Stock",Industrials
AQST,"Aquestive Therapeutics, Inc. - Common Stock",Health Care
AQU,Aquaron Acquisition Corp. - Common Stock,Finance
AQUNR,Aquaron Acquisition Corp. - Rights,Finance
AQUNU,Aquaron Acquisition Corp. - Units,Finance
AQWA,Global X Clean Water ETF,
ARAV,"Aravive, Inc. - Common Stock",Health Care
ARAY,Accuray Incorporated - Common Stock,Health Care
ARBB,ARB IOT Group Limited - Ordinary Shares,
ARBE,Arbe Robotics Ltd. - Ordinary Shares,Technology
ARBEW,Arbe Robotics Ltd. - Warrant,Technology
ARBK,Argo Blockchain plc - American Depositary Shares,Finance
ARBKL,Argo Blockchain plc - 8.75% Senior Notes due 2026,Technology
ARCB,ArcBest Corporation - Common Stock,Industrials
ARCC,Ares Capital Corporation - Closed End Fund,Finance
ARCT,Arcturus Therapeutics Holdings Inc. - Common Stock,Health Care
ARDX,"Ardelyx, Inc. - Common Stock",Health Care
AREB,"American Rebel Holdings, Inc. - Common Stock",Industrials
AREBW,"American Rebel Holdings, Inc. - warrants",Industrials
AREC,American Resources Corporation - Class A Common Stock,Energy
ARGX,argenx SE - American Depositary Shares,Health Care
ARHS,"Arhaus, Inc. - Class A Common Stock",Consumer Discretionary
ARIZ,Arisz Acquisition Corp. - Common Stock,Finance
ARIZR,Arisz Acquisition Corp. - Right,Finance
ARIZU,Arisz Acquisition Corp. - Unit,Finance
ARIZW,Arisz Acquisition Corp. - Warrant,Finance
ARKO,ARKO Corp. - Common Stock,Energy
ARKOW,ARKO Corp. - Warrant,Energy
ARKR,Ark Restaurants Corp. - Common Stock,Consumer Discretionary
ARLP,"Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests",Energy
ARM,Arm Holdings plc - American Depositary Shares,
AROW,Arrow Financial Corporation - Common Stock,Finance
ARQQ,Arqit Quantum Inc. - Ordinary Shares,Technology
ARQQW,Arqit Quantum Inc. - Warrants,Technology
ARQT,"Arcutis Biotherapeutics, Inc. - Common stock",Health Care
ARRW,Arrowroot Acquisition Corp. - Class A common stock,Finance
ARRWU,Arrowroot Acquisition Corp. - Unit,Finance
ARRWW,Arrowroot Acquisition Corp. - Warrant,Finance
ARRY,"Array Technologies, Inc. - Common Stock",Technology
ARTL,"Artelo Biosciences, Inc. - Common Stock",Health Care
ARTLW,"Artelo Biosciences, Inc. - Warrant",Health Care
ARTNA,Artesian Resources Corporation - Class A Non-Voting Common Stock,Utilities
ARTW,"Art's-Way Manufacturing Co., Inc. - Common Stock",Industrials
ARVL,Arrival - Ordinary Shares,Consumer Discretionary
ARVN,"Arvinas, Inc. - Common Stock",Health Care
ARVR,First Trust Indxx Metaverse ETF,
ARWR,"Arrowhead Pharmaceuticals, Inc. - Common Stock",Health Care
ARYD,ARYA Sciences Acquisition Corp IV - Class A Ordinary Shares,Health Care
ASCA,A SPAC I Acquisition Corp. - Class A Ordinary Share,Finance
ASCAR,A SPAC I Acquisition Corp. - Right,Finance
ASCAU,A SPAC I Acquisition Corp. - Unit,Finance
ASCAW,A SPAC I Acquisition Corp. - Warrant,Finance
ASCB,"A SPAC II Acquisition Corp. - Ordinary Shares, Class A Common Stock",Finance
ASCBR,A SPAC II Acquisition Corp. - Right,Finance
ASCBU,A SPAC II Acquisition Corp. - Unit,Finance
ASCBW,A SPAC II Acquisition Corp. - Warrant,Finance
ASET,FlexShares Real Assets Allocation Index Fund,
ASLE,AerSale Corporation - Common Stock,Consumer Discretionary
ASLN,ASLAN Pharmaceuticals Limited - American Depositary Shares,Health Care
ASMB,"Assembly Biosciences, Inc. - Common Stock",Health Care
ASML,ASML Holding N.V. - New York Registry Shares,Technology
ASND,Ascendis Pharma A/S - American Depositary Shares,Health Care
ASNS,"Actelis Networks, Inc. - Common Stock",Telecommunications
ASO,"Academy Sports and Outdoors, Inc. - Common Stock",Consumer Discretionary
ASPI,ASP Isotopes Inc. - Common Stock,Industrials
ASPS,Altisource Portfolio Solutions S.A. - Common Stock,Consumer Discretionary
ASRT,"Assertio Holdings, Inc. - Common Stock",Health Care
ASRV,AmeriServ Financial Inc. - Common Stock,Finance
ASST,Asset Entities Inc. - Class B Common Stock,Technology
ASTC,Astrotech Corporation - Common Stock,Industrials
ASTE,"Astec Industries, Inc. - Common Stock",Industrials
ASTI,"Ascent Solar Technologies, Inc - Common Stock",Technology
ASTL,Algoma Steel Group Inc. - Common Shares,Industrials
ASTLW,Algoma Steel Group Inc. - Warrant,Industrials
ASTR,"Astra Space, Inc. - Class A Common Stock",Consumer Discretionary
ASTS,"AST SpaceMobile, Inc. - Class A Common Stock",Consumer Discretionary
ASTSW,"AST SpaceMobile, Inc. - Warrant",Consumer Discretionary
ASUR,Asure Software Inc - Common Stock,Technology
ASYS,"Amtech Systems, Inc. - Common Stock",Technology
ATAI,ATAI Life Sciences N.V. - Common Shares,Health Care
ATAK,Aurora Technology Acquisition Corp. - Class A Ordinary Shares,Finance
ATAKR,Aurora Technology Acquisition Corp. - Rights,Finance
ATAKU,Aurora Technology Acquisition Corp. - Unit,Finance
ATAKW,Aurora Technology Acquisition Corp. - Warrants,Finance
ATAT,Atour Lifestyle Holdings Limited - American Depositary Shares,Consumer Discretionary
ATCOL,Atlas Corp. - 7.125% Notes due 2027,Basic Materials
ATEC,"Alphatec Holdings, Inc. - Common Stock",Health Care
ATER,"Aterian, Inc. - Common Stock",Consumer Discretionary
ATEX,Anterix Inc. - Common Stock,Telecommunications
ATGL,Alpha Technology Group Limited - Ordinary Shares,
ATHA,"Athira Pharma, Inc. - Common Stock",Health Care
ATHE,Alterity Therapeutics Limited - American Depositary Shares,Health Care
ATIF,ATIF Holdings Limited - Ordinary Shares,Consumer Discretionary
ATLC,Atlanticus Holdings Corporation - Common Stock,Finance
ATLCL,Atlanticus Holdings Corporation - 6.125% Senior Notes due 2026,Finance
ATLCP,"Atlanticus Holdings Corporation - 7.625% Series B Cumulative Perpetual Preferred Stock, no par value per share",Finance
ATLO,Ames National Corporation - Common Stock,Finance
ATLX,Atlas Lithium Corporation - Common Stock,Industrials
ATMC,AlphaTime Acquisition Corp - Ordinary Shares,Finance
ATMCR,AlphaTime Acquisition Corp - Right,Finance
ATMCU,AlphaTime Acquisition Corp - Unit,Finance
ATMCW,AlphaTime Acquisition Corp - Warrant,Finance
ATMV,AlphaVest Acquisition Corp - Ordinary Shares,Finance
ATMVR,AlphaVest Acquisition Corp - Right,Finance
ATMVU,AlphaVest Acquisition Corp - Unit,Finance
ATNF,180 Life Sciences Corp. - Common Stock,Health Care
ATNFW,180 Life Sciences Corp. - Warrant,Health Care
ATNI,"ATN International, Inc. - Common Stock",Telecommunications
ATOM,Atomera Incorporated - Common Stock,Technology
ATOS,"Atossa Therapeutics, Inc. - Common Stock",Health Care
ATPC,Agape ATP Corporation - Common Stock,
ATRA,"Atara Biotherapeutics, Inc. - Common Stock",Health Care
ATRC,"AtriCure, Inc. - Common Stock",Health Care
ATRI,Atrion Corporation - Common Stock,Health Care
ATRO,Astronics Corporation - Common Stock,Industrials
ATSG,"Air Transport Services Group, Inc - Common Stock",Consumer Discretionary
ATXG,Addentax Group Corp. - Common Stock,Consumer Discretionary
